epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,18586.8,0.81095,1.55744,0.78375,0.91585,0.64568,0.62278,0.61075,0.52407,0.59171,0.62829,0.60069,0.52342,1.40012,1.83572,1.16803,1.00549,0.0090694,0.0090694,0.0090694
96,18779.2,0.83995,1.57613,0.79697,0.9185,0.6462,0.62027,0.6112,0.52256,0.59786,0.62187,0.59968,0.52186,1.38829,1.84637,1.16791,1.00484,0.0090595,0.0090595,0.0090595
97,18968.4,0.82002,1.54973,0.79042,0.91552,0.66841,0.61808,0.61357,0.52345,0.61525,0.61748,0.60066,0.52345,1.37933,1.83506,1.14845,1.00753,0.0090496,0.0090496,0.0090496
98,19161.3,0.83181,1.56375,0.79248,0.92317,0.6367,0.63317,0.61239,0.52511,0.60774,0.62536,0.60007,0.52135,1.4006,1.84004,1.17749,1.01329,0.0090397,0.0090397,0.0090397
99,19353.8,0.84197,1.55816,0.80532,0.91431,0.65858,0.61755,0.6116,0.5246,0.62058,0.61065,0.59934,0.52301,1.39657,1.82162,1.17158,1.01304,0.0090298,0.0090298,0.0090298
100,19546.4,0.80565,1.51902,0.7627,0.91617,0.62485,0.62279,0.60962,0.52214,0.58146,0.62292,0.5933,0.51826,1.41127,1.82354,1.17889,1.00767,0.0090199,0.0090199,0.0090199
101,19738.4,0.81573,1.51999,0.78259,0.91262,0.65043,0.61533,0.60623,0.51929,0.58841,0.62436,0.59391,0.51823,1.41038,1.83767,1.20449,1.00855,0.00901,0.00901,0.00901
102,19928.4,0.80256,1.50828,0.75385,0.91017,0.69261,0.61449,0.61428,0.52527,0.61651,0.61038,0.60068,0.52162,1.39764,1.82977,1.17167,1.00578,0.0090001,0.0090001,0.0090001
103,20119.1,0.81269,1.52629,0.77932,0.91623,0.667,0.61693,0.61471,0.52591,0.62327,0.6086,0.60105,0.5225,1.38585,1.81552,1.16221,1.00758,0.0089902,0.0089902,0.0089902
104,20309.7,0.81082,1.53038,0.78465,0.91116,0.65734,0.61887,0.61656,0.52695,0.62655,0.60752,0.60384,0.52168,1.38091,1.8126,1.1582,0.99925,0.0089803,0.0089803,0.0089803
105,20500.5,0.81557,1.52231,0.77362,0.90894,0.68203,0.61906,0.61659,0.52551,0.61489,0.61564,0.60337,0.52255,1.40274,1.83297,1.14615,1.00633,0.0089704,0.0089704,0.0089704
106,20691.3,0.83471,1.56315,0.79453,0.91702,0.64068,0.61981,0.61234,0.52362,0.60233,0.61685,0.60196,0.52261,1.37885,1.84124,1.14659,0.99987,0.0089605,0.0089605,0.0089605
107,20882,0.81871,1.55623,0.78521,0.91976,0.66054,0.62557,0.61319,0.52343,0.6225,0.62487,0.6099,0.52281,1.39749,1.83626,1.1558,1.01038,0.0089506,0.0089506,0.0089506
108,21072.3,0.82502,1.5431,0.77209,0.91972,0.64558,0.62287,0.6131,0.52162,0.60027,0.62088,0.60017,0.52179,1.39528,1.83496,1.16218,1.00553,0.0089407,0.0089407,0.0089407
109,21261.5,0.79069,1.48666,0.74872,0.90428,0.65095,0.6247,0.61442,0.52476,0.6027,0.6202,0.59918,0.52294,1.40225,1.8326,1.14715,1.01269,0.0089308,0.0089308,0.0089308
110,21462.5,0.81691,1.5184,0.76669,0.90821,0.62422,0.62538,0.61163,0.52319,0.59277,0.63615,0.60212,0.52422,1.39019,1.82622,1.14301,1.00506,0.0089209,0.0089209,0.0089209
111,21662.8,0.81561,1.54523,0.76212,0.91437,0.65802,0.62495,0.61951,0.52717,0.59637,0.63562,0.60541,0.52491,1.3968,1.8318,1.13975,1.01343,0.008911,0.008911,0.008911
112,21863.2,0.80868,1.49665,0.75319,0.91304,0.63243,0.62831,0.61506,0.52538,0.59096,0.62927,0.60759,0.52347,1.39175,1.83691,1.14729,1.00781,0.0089011,0.0089011,0.0089011
113,22062.9,0.80002,1.49177,0.75924,0.9081,0.6464,0.61763,0.61246,0.52564,0.6097,0.61671,0.60482,0.52132,1.38174,1.84315,1.15522,1.00534,0.0088912,0.0088912,0.0088912
